bedrooms,price,neighbourhood
3.0,114.0,Morrens (Vaud)
1.105263157894737,63.63157894736842,Moudon
1.36,127.33846153846154,Mühlebach
1.0,55.0,Novalles
2.25,480.5,Noville
1.380281690140845,102.17647058823529,Nyon
1.3055555555555556,115.85365853658537,Oberstrass
1.2340425531914894,159.59821428571428,Oerlikon
1.0,95.0,Ogens
2.4097560975609755,290.00456621004565,Ollon
1.5,146.7058823529412,Onex
2.0,95.0,Onnens (Vaud)
1.0,72.0,Orbe
2.4285714285714284,178.13333333333333,Ormont-Dessous
2.8666666666666667,386.9032258064516,Ormont-Dessus
2.0,162.66666666666666,Oron
1.0,110.0,Oulens-sous-Echallens
2.0,100.0,Pailly
1.4,136.0,Paudex
1.6666666666666667,293.3333333333333,Payerne
2.0,88.0,Perly-Certoux
1.625,155.44444444444446,Perroy
1.8461538461538463,118.57142857142857,Plan-les-Ouates
2.0,97.0,Poliez-Pittet
6.0,288.0,Pomy
1.8,90.83333333333333,Prangins
1.5625,146.11764705882354,Pregny-Chambésy
2.0,30.0,Premier
1.5,1080.0,Presinge
1.2765957446808511,90.87037037037037,Prilly
1.25,71.25,Provence
1.8125,229.8235294117647,Préverenges
1.2857142857142858,128.0,Puidoux
1.3846153846153846,93.03846153846153,Pully
1.5,94.0,Puplinge
1.280701754385965,187.51898734177215,Rathaus
1.3518518518518519,65.13333333333334,Renens (Vaud)
1.0,39.0,Rennaz
1.5454545454545454,126.08333333333333,Rivaz
2.0,89.0,Roche (Vaud)
1.6818181818181819,148.77272727272728,Rolle
1.0,87.5,Romainmôtier-Envy
2.0,78.8,Romanel-sur-Lausanne
1.0,75.0,Romanel-sur-Morges
1.0,30.0,Ropraz
2.238095238095238,217.04761904761904,Rossinière
2.6458333333333335,679.625,Rougemont
2.0,100.0,Russin
1.0,107.8,Saatlen
1.6551724137931034,111.12121212121212,Saint-Cergue
2.3333333333333335,215.28571428571428,Saint-George
1.0,224.875,Saint-Livres
1.875,199.10526315789474,Saint-Légier-La Chiésaz
2.0,110.0,Saint-Oyens
1.411764705882353,111.36842105263158,Saint-Prex
1.6,142.2,Saint-Saphorin (Lavaux)
1.6875,155.10526315789474,Saint-Sulpice (Vaud)
1.8,102.58333333333333,Sainte-Croix
2.0,163.75,Satigny
1.6,84.36363636363636,Savigny
1.1538461538461537,70.76923076923077,Schwamendingen-Mitte
1.32,112.04054054054055,Seebach
1.2638888888888888,175.89361702127658,Seefeld
2.0,50.0,Sergey
2.3333333333333335,114.25,Servion
1.0,74.5,Signy-Avenex
1.3146067415730338,123.33653846153847,Sihlfeld
3.5,125.25,Soral
1.0,92.5,Suchy
1.6666666666666667,108.33333333333333,Sullens
1.5,107.66666666666667,Tannay
1.75,132.75,Tartegnin
1.5,81.6,Thônex
1.6666666666666667,196.5,Tolochenaz
2.5,128.33333333333334,Trey
1.0,70.0,Treycovagnes
1.0,87.5,Troinex
1.6666666666666667,90.0,Trélex
1.6666666666666667,103.33333333333333,Tévenon
1.35,158.0952380952381,Unterstrass
1.8,72.0,Valbroye
1.0,100.0,Valeyres-sous-Rances
2.0,172.85714285714286,Vallorbe
3.5,320.5,Vandoeuvres
,70.0,Vaulion
1.3043478260869565,83.47058823529412,Vernier
1.3214285714285714,104.24242424242425,Versoix
1.4852941176470589,135.6530612244898,Vevey
1.4444444444444444,101.46153846153847,Veyrier
1.5384615384615385,124.13333333333334,Veytaux
2.0,123.0,Vich
1.0,135.0,Villars-Sainte-Croix
1.0,80.0,Villars-sous-Yens
1.3846153846153846,131.11111111111111,Villeneuve (Vaud)
1.0,50.0,Vinzel
1.0,59.0,Vuarrens
1.6666666666666667,136.0,Vufflens-la-Ville
1.0,82.5,Vufflens-le-Château
1.0,79.0,Vugelles-La Mothe
1.0,81.0,Vuiteboeuf
1.25,113.5,Vulliens
1.3333333333333333,93.75,Vullierens
1.6363636363636365,147.22222222222223,Vully-les-Lacs
1.608695652173913,143.83333333333334,Weinegg
1.2142857142857142,128.73333333333332,Werd
1.180327868852459,97.81818181818181,Wipkingen
1.4090909090909092,122.27272727272727,Witikon
1.3018867924528301,152.03333333333333,Wollishofen
4.0,99.0,Yens
1.3793103448275863,77.25714285714285,Yverdon-les-Bains
2.2,123.8,Yvonand
2.0,127.33333333333333,Yvorne
