neighbourhood,price,minimum_nights,number_of_reviews
La Tour-de-Peilz,133.36,3.0,13.0
Lausanne,98.15,12.0,14.0
Lavey-Morcles,104.33,2.0,15.0
Lavigny,900.0,7.0,0.0
Le Chenit,78.05,3.0,14.0
Le Lieu,137.67,2.0,28.0
Le Mont-sur-Lausanne,112.5,11.0,21.0
Le Vaud,73.33,2.0,13.0
Leysin,176.06,3.0,14.0
Lignerolle,66.25,1.0,10.0
Lonay,163.75,4.0,7.0
Longirod,48.0,1.0,5.0
Lucens,111.0,1.0,12.0
Lully (Vaud),76.67,3.0,17.0
Lutry,172.46,5.0,10.0
Maracon,191.5,3.0,8.0
Marchissy,90.0,1.0,29.0
Mathod,53.0,1.0,61.0
Mauborget,82.5,3.0,0.0
Mex (Vaud),50.0,1.0,2.0
Mies,78.33,4.0,3.0
Moiry,60.0,3.0,9.0
Mollens (Vaud),215.0,7.0,0.0
Mont-sur-Rolle,196.14,3.0,27.0
Montagny-près-Yverdon,55.0,4.0,71.0
Montanaire,78.75,4.0,16.0
Montcherand,68.0,3.0,52.0
Montherod,90.0,2.0,66.0
Montilliez,95.5,2.0,22.0
Montpreveyres,100.8,4.0,14.0
Montreux,196.08,5.0,20.0
Montricher,120.0,3.0,1.0
Morges,82.1,4.0,14.0
Morrens (Vaud),114.0,2.0,8.0
Moudon,63.63,1.0,4.0
Novalles,55.0,1.0,0.0
Noville,480.5,8.0,18.0
Nyon,102.18,6.0,11.0
Ogens,95.0,2.0,3.0
Ollon,290.0,4.0,10.0
Onnens (Vaud),95.0,4.0,8.0
Orbe,72.0,1.0,24.0
Ormont-Dessous,178.13,5.0,13.0
Ormont-Dessus,386.9,4.0,11.0
Oron,162.67,3.0,37.0
Oulens-sous-Echallens,110.0,4.0,19.0
Pailly,100.0,3.0,48.0
Paudex,136.0,2.0,21.0
Payerne,293.33,2.0,6.0
Perroy,155.44,2.0,24.0
Poliez-Pittet,97.0,14.0,0.0
Pomy,288.0,1.0,23.0
Prangins,90.83,41.0,9.0
Premier,30.0,1.0,156.0
Prilly,90.87,8.0,13.0
Provence,71.25,1.0,14.0
Préverenges,229.82,5.0,20.0
Puidoux,128.0,3.0,31.0
Pully,93.04,8.0,12.0
Renens (Vaud),65.13,18.0,9.0
Rennaz,39.0,1.0,184.0
Rivaz,126.08,2.0,20.0
Roche (Vaud),89.0,2.0,7.0
Rolle,148.77,5.0,12.0
Romainmôtier-Envy,87.5,2.0,26.0
Romanel-sur-Lausanne,78.8,10.0,3.0
Romanel-sur-Morges,75.0,1.0,46.0
Ropraz,30.0,1.0,27.0
Rossinière,217.05,3.0,23.0
Rougemont,679.62,4.0,9.0
Saint-Cergue,111.12,2.0,22.0
Saint-George,215.29,3.0,28.0
Saint-Livres,224.88,1.0,0.0
Saint-Légier-La Chiésaz,199.11,5.0,16.0
Saint-Oyens,110.0,2.0,3.0
Saint-Prex,111.37,4.0,14.0
Saint-Saphorin (Lavaux),142.2,9.0,5.0
Saint-Sulpice (Vaud),155.11,14.0,9.0
Sainte-Croix,102.58,5.0,25.0
Savigny,84.36,22.0,15.0
Sergey,50.0,1.0,4.0
Servion,114.25,5.0,5.0
Signy-Avenex,74.5,2.0,0.0
Suchy,92.5,1.0,40.0
Sullens,108.33,2.0,8.0
Tannay,107.67,2.0,12.0
Tartegnin,132.75,2.0,28.0
Tolochenaz,196.5,4.0,17.0
Trey,128.33,3.0,21.0
Treycovagnes,70.0,1.0,14.0
Trélex,90.0,2.0,62.0
Tévenon,103.33,2.0,16.0
Valbroye,72.0,2.0,18.0
Valeyres-sous-Rances,100.0,1.0,0.0
Vallorbe,172.86,2.0,12.0
Vaulion,70.0,1.0,57.0
Vevey,135.65,11.0,12.0
Veytaux,124.13,4.0,20.0
Vich,123.0,3.0,21.0
Villars-Sainte-Croix,135.0,2.0,16.0
Villars-sous-Yens,80.0,3.0,33.0
Villeneuve (Vaud),131.11,2.0,26.0
Vinzel,50.0,2.0,0.0
Vuarrens,59.0,2.0,114.0
Vufflens-la-Ville,136.0,4.0,19.0
Vufflens-le-Château,82.5,2.0,0.0
Vugelles-La Mothe,79.0,1.0,8.0
Vuiteboeuf,81.0,1.0,16.0
Vulliens,113.5,1.0,5.0
Vullierens,93.75,2.0,9.0
Vully-les-Lacs,147.22,5.0,16.0
Yens,99.0,2.0,26.0
